Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
IGP - Indication géographique protégée,,Clémentine de Corse,Clémentine de Corse,Clémentine de Corse,Fruits légumes et céréales en l'état ou transformés,Agrume,,,,,http://www.inao.gouv.fr/produit/3531
IGP - Indication géographique protégée,,Agneau de Sisteron,Agneau de Sisteron,Agneau de Sisteron,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/3530
IGP - Indication géographique protégée,,Pâtes d'Alsace,Pâtes d'Alsace,Pâtes d'Alsace,Pâtes alimentaires,Pâtes sèches,,,,,http://www.inao.gouv.fr/produit/3514
IGP - Indication géographique protégée,,Asperge des Sables des Landes,Asperge des Sables des Landes,Asperge des Sables des Landes,Fruits légumes et céréales en l'état ou transformés,Légume-tige,,,,,http://www.inao.gouv.fr/produit/3513
IGP - Indication géographique protégée,,Miel de Provence,Miel de Provence,Miel de Provence,Autres produits d'origine animale (oeufs miel produits laitiers sauf beurre etc.),Miel,,,,,http://www.inao.gouv.fr/produit/3512
IGP - Indication géographique protégée,,Miel d'Alsace,Miel d'Alsace,Miel d'Alsace,Autres produits d'origine animale (oeufs miel produits laitiers sauf beurre etc.),Miel,,,,,http://www.inao.gouv.fr/produit/3490
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Maine-Anjou,Maine-Anjou,Maine-Anjou,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/3479
IGP - Indication géographique protégée,,Anchois de Collioure,Anchois de Collioure,Anchois de Collioure,Poissons mollusques crustacés frais et produits dérivés,Poisson,,,,,http://www.inao.gouv.fr/produit/3477
IGP - Indication géographique protégée,,Agneau du Poitou-Charentes,Agneau du Poitou-Charentes,Agneau du Poitou-Charentes,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/3472
IGP - Indication géographique protégée,,Bœuf Charolais du Bourbonnais,Bœuf Charolais du Bourbonnais,Bœuf Charolais du Bourbonnais,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/3461
IGP - Indication géographique protégée,,Agneau du Bourbonnais,Agneau du Bourbonnais,Agneau du Bourbonnais,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/3460
IGP - Indication géographique protégée,,Volailles de l'Ain,Volailles de l'Ain,Volailles de l’Ain,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3457
IGP - Indication géographique protégée,,Volailles de Bourgogne,Volailles de Bourgogne,Volailles de Bourgogne,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3456
IGP - Indication géographique protégée,,Volailles du Forez,Volailles du Forez,Volailles du Forez,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3455
IGP - Indication géographique protégée,,Volailles du Charolais,Volailles du Charolais,Volailles du Charolais,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3454
IGP - Indication géographique protégée,,Volailles de Normandie,Volailles de Normandie,Volailles de Normandie,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3453
IGP - Indication géographique protégée,,Crème fraîche fluide d'Alsace,Crème fraîche fluide d'Alsace,Crème fraîche fluide d'Alsace,Huiles et matières grasses (beurre margarine huiles etc.),Crème,,,,,http://www.inao.gouv.fr/produit/3449
IGP - Indication géographique protégée,,Volailles du Velay,Volailles du Velay,Volailles du Velay,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3448
IGP - Indication géographique protégée,,Volailles du Val de Sèvres,Volailles du Val de Sèvres,Volailles du Val de Sèvres,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3447
IGP - Indication géographique protégée,,Volailles du plateau de Langres,Volailles du plateau de Langres,Volailles du plateau de Langres,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3446
IGP - Indication géographique protégée,,Volailles du Lauragais,Volailles du Lauragais,Volailles du Lauragais,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3444
IGP - Indication géographique protégée,,Volailles du Gâtinais,Volailles du Gâtinais,Volailles du Gâtinais,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3443
IGP - Indication géographique protégée,,Volailles du Languedoc,Volailles du Languedoc,Volailles du Languedoc,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3442
