Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
IG - Indication géographique,,Rhum de sucrerie de la Baie du Galion ou Rhum de la Baie du Galion ou Rhum Baie du Galion,Rhum de sucrerie de la Baie du Galion ou Rhum de la Baie du Galion ou Rhum Baie,Rhum de sucrerie de la Baie du Galion ou Rhum de la Baie du Galion ou Rhum Baie du Galion,Autres boissons alcoolisées,Rhum,Blanc,,,,http://www.inao.gouv.fr/produit/16761
IGP - Indication géographique protégée,,Vanille de l'île de La Réunion,Vanille de l'île de La Réunion,Vanille de l'île de La Réunion,Autres produits de l'annexe I du traité (épices etc.),Epices,,,,,http://www.inao.gouv.fr/produit/16754
IGP - Indication géographique protégée,,Tome fraîche de l'Aubrac Tome fraîche de l'Aubrac,Tome fraîche de l'Aubrac,Tome fraîche de l'Aubrac,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/16653
IGP - Indication géographique protégée,,Mirabelles de Lorraine,Mirabelles de Lorraine,Mirabelles de Lorraine,Fruits légumes et céréales en l'état ou transformés,Fruit à noyau,,,,,http://www.inao.gouv.fr/produit/16537
IGP - Indication géographique protégée,,Haricot de Soissons Haricot de Soissons,Haricot de Soissons,Haricot de Soissons,Fruits légumes et céréales en l'état ou transformés,Légume sec,,,,,http://www.inao.gouv.fr/produit/16527
IGP - Indication géographique protégée,,Moutarde de Bourgogne,Moutarde de Bourgogne,Moutarde de Bourgogne,Pâte de moutarde,Moutarde,,,,,http://www.inao.gouv.fr/produit/16486
IGP - Indication géographique protégée,,Cidre de Bretagne ou Cidre breton,Cidre de Bretagne,Cidre de Bretagne ou Cidre breton,Autres boissons alcoolisées,Cidre,,,,,http://www.inao.gouv.fr/produit/16455
IGP - Indication géographique protégée,,Cidre de Normandie ou Cidre normand,Cidre de Normandie ou Cidre normand,Cidre de Normandie ou Cidre normand,Autres boissons alcoolisées,Cidre,,,,,http://www.inao.gouv.fr/produit/16454
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Salers,Salers,Salers,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/16449
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Chavignol ou Crottin de Chavignol,Chavignol,Chavignol,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/16448
IGP - Indication géographique protégée,,Emmental français Est-Central,Emmental français Est-Central,Emmental français Est-Central,Fromages,Pâte pressée cuite,,,,,http://www.inao.gouv.fr/produit/16445
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Huile de noix du Périgord,Huile de noix du Périgord,Huile de noix du Périgord,Huiles et matières grasses (beurre margarine huiles etc.),Huile,,,,,http://www.inao.gouv.fr/produit/16392
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Brousse du Rove,Brousse du Rove,Brousse du Rove,Fromages,autres fromages (frais blanc fondu...),,,,,http://www.inao.gouv.fr/produit/16353
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Ail violet de Cadours,Ail violet de Cadours,Ail violet de Cadours,Fruits légumes et céréales en l'état ou transformés,Bulbe,,,,,http://www.inao.gouv.fr/produit/16352
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Brie de Melun,Brie de Melun,Brie de Melun,Fromages,Pâte molle et croûte fleurie,,,,,http://www.inao.gouv.fr/produit/16351
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Beurre des Deux Sèvres,Beurre des Deux Sèvres,Beurre des Deux Sèvres,Huiles et matières grasses (beurre margarine huiles etc.),Beurre,,,,,http://www.inao.gouv.fr/produit/16350
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,BEURRE DES CHARENTES,BEURRE DES CHARENTES,Beurre des Charentes,Huiles et matières grasses (beurre margarine huiles etc.),Beurre,,,,,http://www.inao.gouv.fr/produit/16349
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Munster ou Munster Géromé,Munster,Munster,Fromages,Pâte molle et croûte lavée,,,,,http://www.inao.gouv.fr/produit/16348
IGP - Indication géographique protégée,,Tomme des Pyrénées,Tomme des Pyrénées,Tomme des Pyrénées,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/16345
IGP - Indication géographique protégée,,Tomme de Savoie,Tomme de Savoie,Tomme de Savoie,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/16327
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Laguiole,Laguiole,Laguiole,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/16326
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Brocciu ou Brocciu Corse,Brocciu,Brocciu,Fromages,autres fromages (frais blanc fondu...),,,,,http://www.inao.gouv.fr/produit/16325
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Reblochon ou Reblochon de Savoie,Reblochon ou Reblochon de Savoie,Reblochon ou Reblochon de Savoie,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/16291
IGP - Indication géographique protégée,,Raclette de Savoie,Raclette de Savoie,Raclette de Savoie,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/16215
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Rhum de la Martinique,Rhum de la Martinique,Rhum de la Martinique,Autres boissons alcoolisées,Rhum,Blanc,,,,http://www.inao.gouv.fr/produit/16194
IGP - Indication géographique protégée,,Fraise du Périgord,Fraise du Périgord,Fraise du Périgord,Fruits légumes et céréales en l'état ou transformés,Fruit rouge,,,,,http://www.inao.gouv.fr/produit/16182
IGP - Indication géographique protégée,,Cancoillotte,Cancoillotte,Cancoillotte,Fromages,autres fromages (frais blanc fondu...),,,,,http://www.inao.gouv.fr/produit/16168
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Brie de Meaux,Brie de Meaux,Brie de Meaux,Fromages,Pâte molle et croûte fleurie,,,,,http://www.inao.gouv.fr/produit/16167
IGP - Indication géographique protégée,,Bergamotes de Nancy,Bergamotes de Nancy,Bergamotes de Nancy,Produits de boulangerie pâtisserie confiserie ou biscuiterie,Confiserie,,,,,http://www.inao.gouv.fr/produit/16115
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Cidre du Perche ou Perche,Cidre du Perche ou Perche,Cidre du Perche ou Perche,Autres boissons alcoolisées,Cidre,,,,,http://www.inao.gouv.fr/produit/16107
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Huile d'olive de Provence,Huile d'olive de Provence,Huile d'olive de Provence,Huiles et matières grasses (beurre margarine huiles etc.),Huile,,,,,http://www.inao.gouv.fr/produit/16106
IGP - Indication géographique protégée,,Jambon de Bayonne,Jambon de Bayonne,Jambon de Bayonne,Produits à base de viande (cuits salés fumés etc.),Salaison,,,,,http://www.inao.gouv.fr/produit/16083
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Bleu du Vercors-Sassenage,Bleu du Vercors-Sassenage,Bleu du Vercors-Sassenage,Fromages,Pâte persillée,,,,,http://www.inao.gouv.fr/produit/16082
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Chabichou du Poitou,Chabichou du Poitou,Chabichou du Poitou,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/16081
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Miel de sapin des Vosges,Miel de sapin des Vosges,Miel de sapin des Vosges,Autres produits d'origine animale (oeufs miel produits laitiers sauf beurre etc.),Miel,,,,,http://www.inao.gouv.fr/produit/16076
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Beurre Charentes-Poitou,Beurre Charentes-Poitou,Beurre Charentes-Poitou,Huiles et matières grasses (beurre margarine huiles etc.),Beurre,,,,,http://www.inao.gouv.fr/produit/16075
IGP - Indication géographique protégée,,Agneau du Périgord,Agneau du Périgord,Agneau du Périgord,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/15998
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Crème d'Isigny,Crème d'Isigny,Crème d'Isigny,Huiles et matières grasses (beurre margarine huiles etc.),Crème,,,,,http://www.inao.gouv.fr/produit/15966
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Banon,Banon,Banon,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/15965
IGP - Indication géographique protégée,,Volailles d’Ancenis,Volailles d’Ancenis,Volailles d’Ancenis,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/15432
IGP - Indication géographique protégée,,Echalote d'Anjou,Echalote d'Anjou,Echalote d'Anjou,Fruits légumes et céréales en l'état ou transformés,Bulbe,,,,,http://www.inao.gouv.fr/produit/15309
IGP - Indication géographique protégée,,Jambon de Lacaune,Jambon de Lacaune,Jambon de Lacaune,Produits à base de viande (cuits salés fumés etc.),Salaison,,,,,http://www.inao.gouv.fr/produit/15306
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Cidre Cotentin ou Cotentin,Cidre Cotentin ou Cotentin,Cidre Cotentin ou Cotentin,Autres boissons alcoolisées,Cidre,,,,,http://www.inao.gouv.fr/produit/15037
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Cornouaille,Cornouaille,Cornouaille,Autres boissons alcoolisées,Cidre,,,,,http://www.inao.gouv.fr/produit/15024
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Cantal ou Fourme de Cantal,Cantal,Cantal ou Fourme de Cantal,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/15010
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Figue de Solliès,Figue de Solliès,Figue de Solliès,Fruits légumes et céréales en l'état ou transformés,Fruit exotique,,,,,http://www.inao.gouv.fr/produit/14888
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Moules de bouchot de la baie du Mont-Saint-Michel,Moules de bouchot de la baie du Mont-Saint-Michel,Moules de bouchot de la baie du Mont-Saint-Michel,Poissons mollusques crustacés frais et produits dérivés,Mollusque,,,,,http://www.inao.gouv.fr/produit/14638
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Porc noir de Bigorre,Porc noir de Bigorre,Porc noir de Bigorre,Viandes (et abats) frais,Porc,,,,,http://www.inao.gouv.fr/produit/14485
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Comté,Comté,Comté,Fromages,Pâte pressée cuite,,,,,http://www.inao.gouv.fr/produit/14400
IGP - Indication géographique protégée,,Saucisson sec de l’Ile de Beauté ou Salciccia de l’Ile de Beauté,Saucisson sec de l’Ile de Beauté ou Salciccia de l’Ile de Beauté,Saucisson sec de l’Ile de Beauté ou Salciccia de l’Ile de Beauté,Produits à base de viande (cuits salés fumés etc.), autres produits à base de viande,,,,,http://www.inao.gouv.fr/produit/14250
IGP - Indication géographique protégée,,Pancetta de l’Ile de Beauté / Panzetta de l’Ile de Beauté,Pancetta de l’Ile de Beauté / Panzetta de l’Ile de Beauté,Pancetta de l’Ile de Beauté ou Panzetta de l’Ile de Beauté,Produits à base de viande (cuits salés fumés etc.),Salaison,,,,,http://www.inao.gouv.fr/produit/14249
IGP - Indication géographique protégée,,Figatelli de l’Ile de Beauté ou Figatellu de l’Ile de Beauté,Figatelli de l’Ile de Beauté ou Figatellu de l’Ile de Beauté,Figatelli de l’Ile de Beauté ou Figatellu de l’Ile de Beauté,Produits à base de viande (cuits salés fumés etc.), autres produits à base de viande,,,,,http://www.inao.gouv.fr/produit/14246
IGP - Indication géographique protégée,,Bulagna de l’Ile de Beauté,Bulagna de l’Ile de Beauté,Bulagna de l’Ile de Beauté,Produits à base de viande (cuits salés fumés etc.),Salaison,,,,,http://www.inao.gouv.fr/produit/14243
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Bleu des Causses,Bleu des Causses,Bleu des Causses,Fromages,Pâte persillée,,,,,http://www.inao.gouv.fr/produit/14230
IGP - Indication géographique protégée,,Ail fumé d'Arleux,Ail fumé d'Arleux,Ail fumé d'Arleux,Fruits légumes et céréales en l'état ou transformés,Bulbe,,,,,http://www.inao.gouv.fr/produit/14228
IGP - Indication géographique protégée,,Melon du Quercy,Melon du Quercy,Melon du Quercy,Fruits légumes et céréales en l'état ou transformés,Légume-fruit,,,,,http://www.inao.gouv.fr/produit/14227
IGP - Indication géographique protégée,,Saucisse de Morteau ou Jésus de Morteau,Saucisse de Morteau ou Jésus de Morteau,Saucisse de Morteau ou Jésus de Morteau,Produits à base de viande (cuits salés fumés etc.),Charcuterie,,,,,http://www.inao.gouv.fr/produit/14209
IGP - Indication géographique protégée,,Ail blanc de Lomagne,Ail blanc de Lomagne,Ail blanc de Lomagne,Fruits légumes et céréales en l'état ou transformés,Bulbe,,,,,http://www.inao.gouv.fr/produit/14207
IGP - Indication géographique protégée,,Pruneaux d'Agen,Pruneaux d'Agen,Pruneaux d'Agen,Fruits légumes et céréales en l'état ou transformés,Fruit sec,,,,,http://www.inao.gouv.fr/produit/14179
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Lentille verte du Puy,Lentille verte du Puy,Lentille verte du Puy,Fruits légumes et céréales en l'état ou transformés,Légume sec,,,,,http://www.inao.gouv.fr/produit/14149
IGP - Indication géographique protégée,,Brioche vendéenne,Brioche vendéenne,Brioche vendéenne,Produits de boulangerie pâtisserie confiserie ou biscuiterie,Viennoiserie,,,,,http://www.inao.gouv.fr/produit/14146
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Oignon doux des Cévennes,Oignon doux des Cévennes,Oignon doux des Cévennes,Fruits légumes et céréales en l'état ou transformés,Bulbe,,,,,http://www.inao.gouv.fr/produit/14074
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Saint-Nectaire,Saint-Nectaire,Saint-Nectaire,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/14073
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Huile essentielle de lavande de Haute-Provence ou Essence de lavande de Haute-Provence,Huile essentielle de lavande de Haute-Provence ou Essence de lavande de Haute-Pr,Huile essentielle de lavande de Haute-Provence ou Essence de lavande de Haute-Provence,Huiles essentielles,Huile essentielle,,,,,http://www.inao.gouv.fr/produit/14037
IGP - Indication géographique protégée,,Mâche nantaise,Mâche nantaise,Mâche nantaise,Fruits légumes et céréales en l'état ou transformés,Salade,,,,,http://www.inao.gouv.fr/produit/14036
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Olive de Nîmes,Olive de Nîmes,Olive de Nîmes,Fruits légumes et céréales en l'état ou transformés,Olive,Verte,,,,http://www.inao.gouv.fr/produit/14005
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Coco de Paimpol,Coco de paimpol,Coco de Paimpol,Fruits légumes et céréales en l'état ou transformés,Légume sec,,,,,http://www.inao.gouv.fr/produit/13962
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Pomme de terre de l'Ile de Ré,Pomme de terre de l'Ile de Ré,Pomme de terre de l'Ile de Ré,Fruits légumes et céréales en l'état ou transformés,Tubercule,,,,,http://www.inao.gouv.fr/produit/13961
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Jambon du Kintoa,Jambon du Kintoa,Jambon du Kintoa,Viandes (et abats) frais,Porc,,,,,http://www.inao.gouv.fr/produit/13955
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Kintoa,Kintoa,Kintoa,Viandes (et abats) frais,Porc,,,,,http://www.inao.gouv.fr/produit/13954
IGP - Indication géographique protégée,,Mogette de Vendée,Mogette de Vendée,Mogette de Vendée,Fruits légumes et céréales en l'état ou transformés,Légume sec,,,,,http://www.inao.gouv.fr/produit/13706
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Ossau-Iraty,Ossau-Iraty,Ossau-Iraty,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/13705
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Olives noires de Nyons,Olives noires de Nyons,Olives noires de Nyons,Fruits légumes et céréales en l'état ou transformés,Olive,,,,,http://www.inao.gouv.fr/produit/13661
IGP - Indication géographique protégée,,Rosée des Pyrénées catalanes,Rosée des Pyrénées catalanes,Rosée des Pyrénées catalanes,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/13478
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Pont-l'Évêque,Pont-l'Évêque,Pont-l'Évêque,Fromages,Pâte molle et croûte lavée,,,,,http://www.inao.gouv.fr/produit/13477
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Chevrotin,Chevrotin,Chevrotin,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/13476
IGP - Indication géographique protégée,,Jambon sec des Ardennes ou Noix de jambon sec des Ardennes,Jambon sec des Ardennes ou Noix de jambon sec des Ardennes,Jambon sec des Ardennes ou Noix de jambon sec des Ardennes,Produits à base de viande (cuits salés fumés etc.),Salaison,,,,,http://www.inao.gouv.fr/produit/13466
IGP - Indication géographique protégée,,Poularde du Périgord,Poularde du Périgord,Poularde du Périgord,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/13460
IGP - Indication géographique protégée,,Chapon du Périgord,Chapon du Périgord,Chapon du Périgord,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/13459
IGP - Indication géographique protégée,,Agneau de Pauillac,Agneau de Pauillac,Agneau de Pauillac,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/13421
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Armagnac,Haut Armagnac,Haut Armagnac,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B615H,http://www.inao.gouv.fr/produit/13390
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Armagnac,Armagnac,Armagnac Blanche Armagnac,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Blanc,,,1B614H,http://www.inao.gouv.fr/produit/13389
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Armagnac,Bas Armagnac,Bas Armagnac,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B613H,http://www.inao.gouv.fr/produit/13388
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Armagnac,Armagnac Ténarèze,Armagnac Ténarèze,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B612H,http://www.inao.gouv.fr/produit/13387
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Rocamadour,Rocamadour,Rocamadour,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/13352
IGP - Indication géographique protégée,,Rillettes de Tours,Rillettes de Tours,Rillettes de Tours,Produits à base de viande (cuits salés fumés etc.),Charcuterie,,,,,http://www.inao.gouv.fr/produit/13300
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Bœuf de Charolles,Bœuf de Charolles,Bœuf de Charolles,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/13201
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Maroilles ou Marolles,Maroilles ou Marolles,Maroilles ou Marolles,Fromages,Pâte molle et croûte lavée,,,,,http://www.inao.gouv.fr/produit/13200
IGP - Indication géographique protégée,,Thym de Provence,Thym de Provence,Thym de Provence,Autres produits de l'annexe I du traité (épices etc.),Herbes aromatiques,,,,,http://www.inao.gouv.fr/produit/13192
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Charolais,Charolais,Charolais,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/13191
IGP - Indication géographique protégée,,Sel de Salies-de-Béarn,Sel de Salies-de-Béarn,Sel de Salies-de-Béarn,Autres produits de l'annexe I du traité (épices etc.),autres condiments,,,,,http://www.inao.gouv.fr/produit/13190
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Armagnac,Armagnac,Armagnac,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B611H,http://www.inao.gouv.fr/produit/13188
IG - Indication géographique,,Génépi des Alpes,Génépi des Alpes,Génépi des Alpes,Autres boissons alcoolisées,Liqueur,,,,,http://www.inao.gouv.fr/produit/13187
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Crème de Bresse,Crème de Bresse,Crème de Bresse,Huiles et matières grasses (beurre margarine huiles etc.),Crème,,,,,http://www.inao.gouv.fr/produit/13175
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Beurre de Bresse,Beurre de Bresse,Beurre de Bresse,Huiles et matières grasses (beurre margarine huiles etc.),Beurre,,,,,http://www.inao.gouv.fr/produit/13174
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Châtaigne d'Ardèche,Châtaigne d'Ardèche,Châtaigne d'Ardèche,Fruits légumes et céréales en l'état ou transformés,Fruit à coque,,,,,http://www.inao.gouv.fr/produit/13173
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Prés-salés du Mont-Saint-Michel,Prés-salés du Mont-Saint-Michel,Prés-salés du Mont-Saint-Michel,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/13172
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Bleu de Gex haut Jura ou Bleu de Septmoncel,Bleu de Gex haut Jura ou Bleu de Septmoncel,Bleu de Gex haut Jura ou Bleu de Septmoncel,Fromages,Pâte persillée,,,,,http://www.inao.gouv.fr/produit/13171
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Valençay,Valençay,Valençay,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/13170
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Neufchâtel,Neufchâtel,Neufchâtel,Fromages,Pâte molle et croûte fleurie,,,,,http://www.inao.gouv.fr/produit/13169
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Selles-sur-Cher,Selles-sur-Cher,Selles-sur-Cher,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/13168
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Dinde de Bresse,Dinde de Bresse,Dinde de Bresse,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/13165
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Fourme d'Ambert,Fourme d'Ambert,Fourme d'Ambert,Fromages,Pâte persillée,,,,,http://www.inao.gouv.fr/produit/13163
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Fourme de Montbrison,Fourme de Montbrison,Fourme de Montbrison,Fromages,Pâte persillée,,,,,http://www.inao.gouv.fr/produit/13161
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Morbier,Morbier,Morbier,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/13160
IG - Indication géographique,,Eau-de-vie de vin des côtes-du-rhône ou Fine des côtes-du-rhône,Eau-de-vie de vin des côtes-du-rhône ou Fine des côtes-du-rhône,Eau-de-vie de vin des côtes-du-rhône ou Fine des côtes-du-rhône,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Blanc,,,,http://www.inao.gouv.fr/produit/13156
IG - Indication géographique,,Fine Faugères ou Eau-de-vie de Faugères,Fine Faugères ou Eau-de-vie de Faugères,Fine Faugères ou Eau-de-vie de Faugères,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Blanc,,,,http://www.inao.gouv.fr/produit/13124
IG - Indication géographique,,Whisky d'Alsace ou Whisky alsacien,Whisky d'Alsace ou Whisky alsacien,Whisky d'Alsace ou Whisky alsacien,Autres boissons alcoolisées,Whisky ou Whiskey,Ambré,,,,http://www.inao.gouv.fr/produit/13121
IG - Indication géographique,,Eau-de-vie de vin originaire du Languedoc ou Fine du Languedoc ou Eau-de-vie de vin du Lan,Eau-de-vie de vin originaire du Languedoc ou Fine du Languedoc ou Eau-de-vie de,Eau-de-vie de vin originaire du Languedoc ou Fine du Languedoc ou Eau-de-vie de vin du Languedoc,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Blanc,,,,http://www.inao.gouv.fr/produit/13120
IG - Indication géographique,,Marc d'Auvergne,Marc d'Auvergne,Marc d'Auvergne,Eaux-de-vie de vin et de marc,Eaux-de-vie de marc de raisin,Blanc,,,,http://www.inao.gouv.fr/produit/13117
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Whisky breton ou Whisky de Bretagne,Whisky breton ou Whisky de Bretagne,Whisky breton ou Whisky de Bretagne,Autres boissons alcoolisées,Whisky ou Whiskey,Ambré,,,,http://www.inao.gouv.fr/produit/13115
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Pommeau de Normandie,Pommeau de Normandie,Pommeau de Normandie,Autres boissons alcoolisées,Autres boissons spiritueuses,Ambré,Doux,,,http://www.inao.gouv.fr/produit/13113
IG - Indication géographique,,Marc des Côtes du Rhône ou Eau-de-vie de marc des Côtes du Rhône,Marc des Côtes du Rhône ou Eau-de-vie de marc des Côtes du Rhône,Marc des Côtes du Rhône  ou  Eau-de-vie de marc des Côtes du Rhône,Eaux-de-vie de vin et de marc,Eaux-de-vie de marc de raisin,Blanc,,,,http://www.inao.gouv.fr/produit/13111
IG - Indication géographique,,Cassis de Saintonge,Cassis de Saintonge,Cassis de Saintonge,Autres boissons alcoolisées,Crème de cassis,Rouge,,,,http://www.inao.gouv.fr/produit/13108
IG - Indication géographique,,Fine Bordeaux,Fine Bordeaux,Fine Bordeaux,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Blanc,,,,http://www.inao.gouv.fr/produit/13107
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Pommeau du Maine,Pommeau du Maine,Pommeau du Maine,Autres boissons alcoolisées,Autres boissons spiritueuses,Ambré,Doux,,,http://www.inao.gouv.fr/produit/13104
IG - Indication géographique,,Marc du Languedoc ou Eau-de-vie de marc du Languedoc,Marc du Languedoc ou Eau-de-vie de marc du Languedoc,Marc du Languedoc ou Eau-de-vie de marc du Languedoc,Eaux-de-vie de vin et de marc,Eaux-de-vie de marc de raisin,Blanc,,,,http://www.inao.gouv.fr/produit/13097
IG - Indication géographique,,Eaux-de-vie de poiré de Normandie,Eaux-de-vie de poiré de Normandie,Eaux-de-vie de poiré de Normandie,Autres boissons alcoolisées,Eaux-de-vie de cidre et de poiré,Blanc,,,,http://www.inao.gouv.fr/produit/13096
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Kirsch de Fougerolles,Kirsch de Fougerolles,Kirsch de Fougerolles,Autres boissons alcoolisées,Eaux-de-vie de fruits,,,,,http://www.inao.gouv.fr/produit/13093
IG - Indication géographique,,Kirsch d’Alsace,Kirsch d’Alsace,Kirsch d’Alsace,Autres boissons alcoolisées,Eaux-de-vie de fruits,,,,,http://www.inao.gouv.fr/produit/13090
IG - Indication géographique,,Quetsch d’Alsace,Quetsch d’Alsace,Quetsch d’Alsace,Autres boissons alcoolisées,Eaux-de-vie de fruits,,,,,http://www.inao.gouv.fr/produit/13089
IG - Indication géographique,,Framboise d’Alsace,Framboise d’Alsace,Framboise d’Alsace,Autres boissons alcoolisées,Eaux-de-vie de fruits,,,,,http://www.inao.gouv.fr/produit/13088
