Statut,Appellation,Produit,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,id site
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergbieten Pinot gris,Vin tranquille,Blanc,Sec,Grand cru,1B002S 3
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergbieten Riesling,Vin tranquille,Blanc,Sec,Grand cru,1B002S 4
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergbieten vendanges tardives Gewurztraminer,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B002D21
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergbieten vendanges tardives Muscat,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B002D22
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergbieten vendanges tardives Pinot gris,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B002D23
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergbieten vendanges tardives Riesling,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B002D24
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim,Vin tranquille,Blanc,Sec,Grand cru,1B003S 9
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim Gewurztraminer,Vin tranquille,Blanc,Sec,Grand cru,1B003S 1
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim Pinot gris,Vin tranquille,Blanc,Sec,Grand cru,1B003S 3
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim Riesling,Vin tranquille,Blanc,Sec,Grand cru,1B003S 4
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim sélection de grains nobles Gewurztraminer,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B003D11
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim sélection de grains nobles Pinot gris,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B003D13
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim sélection de grains nobles Riesling,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B003D14
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim vendanges tardives Gewurztraminer,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B003D21
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim vendanges tardives Pinot gris,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B003D23
AOC,Alsace grand cru,Alsace grand cru Altenberg de Bergheim vendanges tardives Riesling,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B003D24
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim Gewurztraminer,Vin tranquille,Blanc,Sec,Grand cru,1B004S 1
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim Muscat,Vin tranquille,Blanc,Sec,Grand cru,1B004S 2
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim Pinot gris,Vin tranquille,Blanc,Sec,Grand cru,1B004S 3
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim Riesling,Vin tranquille,Blanc,Sec,Grand cru,1B004S 4
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim sélection de grains nobles Gewurztraminer,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B004D11
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim sélection de grains nobles Muscat,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B004D12
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim sélection de grains nobles Pinot gris,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B004D13
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim sélection de grains nobles Riesling,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B004D14
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim vendanges tardives Gewurztraminer,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B004D21
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim vendanges tardives Muscat,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B004D22
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim vendanges tardives Pinot gris,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B004D23
AOC,Alsace grand cru,Alsace grand cru Altenberg de Wolxheim vendanges tardives Riesling,Vin de vendanges tardives,Blanc,Doux,Grand cru,1B004D24
AOC,Alsace grand cru,Alsace grand cru Brand Gewurztraminer,Vin tranquille,Blanc,Sec,Grand cru,1B005S 1
AOC,Alsace grand cru,Alsace grand cru Brand sélection de grains nobles Gewurztraminer,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B005D11
AOC,Alsace grand cru,Alsace grand cru Brand sélection de grains nobles Muscat,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B005D12
AOC,Alsace grand cru,Alsace grand cru Brand sélection de grains nobles Pinot gris,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B005D13
AOC,Alsace grand cru,Alsace grand cru Brand sélection de grains nobles Riesling,Vin de sélection de grains nobles,Blanc,Doux,Grand cru,1B005D14
AOC,Alsace grand cru,Alsace grand cru Brand Muscat,Vin tranquille,Blanc,Sec,Grand cru,1B005S 2
